pmid,title,pub_year_num,rq2_group,is_combo,auc_num,auc_logit,vi,var_approx,sens_num,spec_num,cohort_size_num,validation_type,screening_or_clinical,model_type,design_quality_num,input_modalities
41331845,Genome-wide methylation analysis of circulating cell-free DNA identifies an episignature in lung cancer: validation of EMP2 as a potential biomarker.,2025,meth_only,0,0.75,1.0986122886681098,0.11347517730496454,True,,,47.0,external_validation,clinical_diagnosis,logistic_regression,10,cfDNA_methylation
41869572,"Evaluation of DNA Methylation in TAC1, SOX17, and RASSF1A for the Early Diagnosis of Lung Cancer.",2026,meth+imaging,1,0.95,2.9444389791664394,0.14129282938890841,True,0.977,0.966,149.0,none,clinical_diagnosis,,4,cfDNA_methylation|LDCT|CT
38856716,Noninvasive Lung Cancer Subtype Classification Using Tumor-Derived Signatures and cfDNA Methylome.,2024,meth+fragmentomics,1,0.808,1.4370666864933141,0.06445957095709572,True,,,,external_validation,clinical_diagnosis,other_ML,8,cfDNA_methylation|cfDNA_fragmentomics
36379302,A method for early diagnosis of lung cancer from tumor originated DNA fragments using plasma cfDNA methylome and fragmentome profiles.,2022,meth+fragmentomics,1,,,,True,,,6243.0,none,clinical_diagnosis,other_ML,10,cfDNA_methylation|cfDNA_fragmentomics|ctDNA
35600397,Precision Oncology: Artificial Intelligence and DNA Methylation Analysis of Circulating Cell-Free DNA for Lung Cancer Detection.,2022,meth+ctDNA,1,,,,True,,,,none,both,deep_learning,4,cfDNA_methylation|ctDNA
39380154,Transformer-based representation learning and multiple-instance learning for cancer diagnosis exclusively from raw sequencing fragments of bisulfite-treated plasma cell-free DNA.,2024,meth+fragmentomics,1,0.91,2.313634929180631,0.002265728745595141,True,,,5389.0,none,clinical_diagnosis,deep_learning,12,cfDNA_methylation|cfDNA_fragmentomics
41194150,The role of dynamic monitoring of plasma cell-free DNA methylation in predicting pathological response in resectable stage IIB-IIIB non-small cell lung cancer: biomarker analyses from a prospective phase II trial.,2025,meth+fragmentomics,1,0.86,1.815289966638249,0.0830564784053156,True,,,100.0,none,clinical_diagnosis,,10,cfDNA_methylation|cfDNA_fragmentomics
38926407,Deep learning model integrating cfDNA methylation and fragment size profiles for lung cancer diagnosis.,2024,meth+fragmentomics,1,,,,True,,,142.0,none,clinical_diagnosis,deep_learning,6,cfDNA_methylation|cfDNA_fragmentomics
41763445,Multi-omics biomarkers in cadmium-related lung toxicity and carcinogenesis.,2026,meth+ctDNA,1,,,,True,,,,none,both,,10,cfDNA_methylation|ctDNA|miRNA
35053460,Aberrant Methylation of SLIT2 Gene in Plasma Cell-Free DNA of Non-Small Cell Lung Cancer Patients.,2022,meth_only,0,,,,True,0.737,0.619,61.0,none,clinical_diagnosis,Cox,4,cfDNA_methylation
