pmid	title	doi	journal	pub_year	cancer_type	modality	task_type	study_design	screening_or_clinical	cohort_size	stage_info	input_modalities	model_type	comparator	auc	sensitivity	specificity	validation_type	key_limitations	relevance	design_quality	metric_comparability	generalizability	impact	total_score	core_library	category
40478347	Beyond nodules: body composition as a biomarker for future lung cancer.	10.1007/s00330-025-11735-6	European radiology	2025	lung	LDCT	screening	retrospective_cohort	both	16360		LDCT|CT|clinical_features	Cox		0.77			external_validation	retrospective study	13	19	9	7	13	61	True	cat3_physical_exam_traditional_model
38042167	Low-dose CT screening among never-smokers with or without a family history of lung cancer in Taiwan: a prospective cohort study.	10.1016/S2213-2600(23)00338-7	The Lancet. Respiratory medicine	2024	lung	LDCT	screening	prospective_cohort	both	6009	mixed	LDCT|clinical_features	logistic_regression					none		13	16	6	12	12	59	True	cat3_physical_exam_traditional_model
41430273	Dynamic screening initiation using 16 plasma protein biomarkers with polygenic risk and PLCOm2012: a precision prevention framework for lung cancer.	10.1186/s12967-025-07468-1	Journal of translational medicine	2025	lung	LDCT	screening	prospective_cohort	both			LDCT|CT|blood_protein|clinical_features|proteomics						none		16	8	3	10	4	41	False	cat3_physical_exam_traditional_model
39705824	A combined model of circulating tumor DNA methylated SHOX2/SCT/HOXA7 and clinical features facilitates the discrimination of malignant from benign pulmonary nodules.	10.1016/j.lungcan.2024.108064	Lung cancer (Amsterdam, Netherlands)	2025	lung	LDCT	diagnosis	other	clinical_diagnosis	210		LDCT|CT|ctDNA	logistic_regression		0.87			none		10	9	7	1	8	35	False	cat3_physical_exam_traditional_model
33691657	A prediction model based on DNA methylation biomarkers and radiological characteristics for identifying malignant from benign pulmonary nodules.	10.1186/s12885-021-08002-4	BMC cancer	2021	lung	LDCT	diagnosis	other	clinical_diagnosis	110		LDCT|CT	random_forest	the methylation biomarkers and the mayo clinic model using t				none		10	7	7	0	2	26	False	cat3_physical_exam_traditional_model
29454784	Coronary Artery Calcium Scores and Atherosclerotic Cardiovascular Disease Risk Stratification in Smokers.	10.1016/j.jcmg.2017.12.017	JACC. Cardiovascular imaging	2019	lung	LDCT	screening	other	screening			LDCT|CT|clinical_features	Cox	lcse smokers (0				none		13	3	7	0	2	25	False	cat3_physical_exam_traditional_model
37458983	Development of lung cancer risk prediction models based on F-18 FDG PET images.	10.1007/s12149-023-01858-5	Annals of nuclear medicine	2023	lung	imaging	diagnosis	other	clinical_diagnosis	795		CT|clinical_features|imaging	logistic_regression					none		5	10	5	2	3	25	False	cat3_physical_exam_traditional_model
35768005	Standardized 18F-FDG PET/CT radiomic features provide information on PD-L1 expression status in treatment-naïve patients with non-small cell lung cancer.	10.1055/a-1816-6950	Nuklearmedizin. Nuclear medicine	2022	lung	LDCT	diagnosis	other	clinical_diagnosis			LDCT|imaging	logistic_regression	0,114, 95%-konfidenzintervall (ki): 0,096–0,931 vs				none		10	2	7	0	3	22	False	cat3_physical_exam_traditional_model
41413294	Budget Impact of the LungFlag™ Predictive Risk Model for Lung Cancer Screening.	10.1007/s41669-025-00627-6	PharmacoEconomics - open	2026	lung	LDCT	screening	other	both		mixed	LDCT|CT|clinical_features						none		13	2	3	0	4	22	False	cat3_physical_exam_traditional_model
