paper_id,title,auc_removed,pooled_auc_loo,ci_lo,ci_hi,delta_auc,abs_delta
lung_LDCT_traditional_084,Vascular Biomarkers for Pulmonary Nodule Malignancy: Arterie,0.78,0.8613,0.8427,0.878,0.001,0.001
lung_LDCT_traditional_086,Artificial Intelligence Assisted Computational Tomographic D,0.88,0.86,0.8412,0.8769,-0.0003,0.0003
lung_LDCT_traditional_087,Investigation of small lung lesion detection for lung cancer,0.98,0.8563,0.8373,0.8733,-0.004,0.004
lung_LDCT_traditional_088,Predicting Nodule Malignancy using a CNN Ensemble Approach.,0.96,0.8577,0.8388,0.8747,-0.0026,0.0026
lung_LDCT_traditional_090,Lung Cancer Recurrence Risk Prediction through Integrated De,0.561,0.8632,0.8449,0.8797,0.0029,0.0029
lung_LDCT_traditional_093,Clinical Study of Artificial Intelligence in Imaging Diagnos,0.71,0.8616,0.843,0.8783,0.0013,0.0013
lung_LDCT_traditional_095,A prediction model based on DNA methylation biomarkers and r,0.951,0.8589,0.8401,0.8758,-0.0014,0.0014
lung_LDCT_traditional_096,Artificial intelligence-based vessel suppression for detecti,0.8,0.8611,0.8425,0.8779,0.0008,0.0008
lung_LDCT_traditional_097,Coronary Artery Calcium Scores and Atherosclerotic Cardiovas,0.621,0.8628,0.8443,0.8793,0.0025,0.0025
lung_LDCT_traditional_098,Evaluation of emphysema on thoracic low-dose CTs through att,0.94,0.8585,0.8396,0.8755,-0.0018,0.0018
lung_LDCT_traditional_099,Development of lung cancer risk prediction models based on F,0.867,0.8602,0.8415,0.8771,-0.0001,0.0001
lung_LDCT_traditional_100,Delta Radiomics Improves Pulmonary Nodule Malignancy Predict,0.773,0.8614,0.8428,0.8782,0.0011,0.0011
lung_LDCT_traditional_101,Generative models improve radiomics performance in different,0.52,0.8635,0.8452,0.88,0.0032,0.0032
lung_LDCT_traditional_107,Interpretative computer-aided lung cancer diagnosis: From ra,0.9627,0.8575,0.8386,0.8746,-0.0028,0.0028
