paper_id,title,year,journal,category,cat_label,auc,sensitivity,specificity,sample_size,study_design,validation_type,tier,auc_clip,logit_auc,var_logit,weight,design_group,val_group
lung_cfDNA_traditional_046,Identification of optimal biomarkers associated with distant metastasis in breas,,BMC cancer,cfDNA_traditional,cfDNA + Traditional ML,0.65,,,348.0,other,none,low_if,0.65,0.6190392084062235,0.012631047113805735,79.17,Retrospective/Other,No external validation
lung_cfDNA_traditional_049,"Integration of Machine Learning, Bioinformatics, and Experimental Validation to ",,Drug development research,cfDNA_traditional,cfDNA + Traditional ML,0.912,,,,other,none,low_if,0.912,2.3383031755961254,0.04192450235615704,23.852399999999996,Retrospective/Other,No external validation
lung_cfDNA_traditional_050,Improving malignancy risk prediction of indeterminate pulmonary nodules with ima,,Clinica chimica acta; international journal of clinical chemistry,cfDNA_traditional,cfDNA + Traditional ML,0.76,,,338.0,other,none,extended,0.76,1.1526795099383855,0.016220284438907922,61.651199999999996,Retrospective/Other,No external validation
lung_cfDNA_traditional_051,The lung cancer-associated blood biomarker hPG80 exhibits a reversible increase ,,Biomarker research,cfDNA_traditional,cfDNA + Traditional ML,0.85,,,,other,none,extended,0.85,1.7346010553881064,0.04192450235615704,23.852399999999996,Retrospective/Other,No external validation
lung_cfDNA_LDCT_traditional_001,Risk-stratified classification of pulmonary nodule malignancy via a machine lear,,The Lancet regional health. Western Pacific,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.95,,,1147.0,other,external_validation,core,0.95,2.9444389791664394,0.018354517505621056,54.482500000000044,Retrospective/Other,External validation
lung_cfDNA_LDCT_traditional_002,Development and validation of an integrated system for lung cancer screening and,,EClinicalMedicine,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.963,0.992,0.563,465.0,prospective_cohort,external_validation,core,0.963,3.2591354991539,0.06035580349719628,16.568415000000012,Prospective/RCT,External validation
lung_cfDNA_LDCT_traditional_003,A Noninvasive Multianalytical Approach for Lung Cancer Diagnosis of Patients wit,,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.86,0.8,0.857,,prospective_cohort,external_validation,core,0.86,1.815289966638249,0.05803200547340158,17.231870445324184,Prospective/RCT,External validation
lung_cfDNA_LDCT_traditional_004,Evaluation and integration of cell-free DNA signatures for detection of lung can,,Cancer letters,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.961,0.793,0.96,,other,external_validation,extended,0.961,3.204412762840645,0.05803200547340158,17.231870445324184,Retrospective/Other,External validation
lung_cfDNA_LDCT_traditional_005,TOTEM: a multi-cancer detection and localization approach using circulating tumo,,BMC cancer,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.865,,0.98,148.0,prospective_cohort,external_validation,low_if,0.865,1.8574547284934497,0.05786132953763011,17.282700000000002,Prospective/RCT,External validation
lung_cfDNA_LDCT_traditional_006,Multi-omics integrated circulating cell-free DNA genomic signatures enhanced the,,EBioMedicine,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.912,0.737,0.973,,other,none,core,0.912,2.3383031755961254,0.05803200547340158,17.231870445324184,Retrospective/Other,No external validation
lung_cfDNA_LDCT_traditional_008,A Highly Sensitive and Specific Non-Invasive Test through Genome-Wide 5-Hydroxym,,Small methods,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.864,,,727.0,other,external_validation,core,0.864,1.8489178830680035,0.011706119097493802,85.42540800000002,Retrospective/Other,External validation
lung_cfDNA_LDCT_traditional_012,Pulmonary nodules: A study on combined diagnostic methods and therapeutic evalua,,Clinica chimica acta; international journal of clinical chemistry,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.7743,0.78,0.768,141.0,other,none,extended,0.7743,1.2327527115691879,0.040582618831789374,24.64109091,Retrospective/Other,No external validation
lung_cfDNA_LDCT_traditional_013,Integrated multiomics signatures to optimize the accurate diagnosis of lung canc,,Nature communications,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.923,,,2032.0,other,none,core,0.923,2.483823812649169,0.006924427463409389,144.41627199999994,Retrospective/Other,No external validation
lung_cfDNA_LDCT_traditional_014,Integrated 5-hydroxymethylcytosine and fragmentation signatures as enhanced biom,,Clinical epigenetics,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.9257,0.875,0.8387,157.0,other,none,extended,0.9257,2.5224392563494518,0.09260645723693516,10.798383070000005,Retrospective/Other,No external validation
lung_cfDNA_LDCT_traditional_016,Detection of the DNA methylation of seven genes contribute to the early diagnosi,,Journal of cancer research and clinical oncology,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.867,0.867,0.867,149.0,other,none,low_if,0.867,1.8746898485587882,0.058202681409173056,17.181339,Retrospective/Other,No external validation
lung_cfDNA_LDCT_traditional_018,"Evaluation of DNA Methylation in TAC1, SOX17, and RASSF1A for the Early Diagnosi",,Cancer management and research,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.95,0.977,0.966,149.0,other,none,extended,0.95,2.9444389791664394,0.14129282938890841,7.077500000000005,Retrospective/Other,No external validation
lung_cfDNA_LDCT_traditional_019,Noninvasive Lung Cancer Subtype Classification Using Tumor-Derived Signatures an,,Cancer research communications,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.808,,,,other,external_validation,core,0.808,1.4370666864933141,0.05803200547340158,17.231870445324184,Retrospective/Other,External validation
lung_cfDNA_LDCT_traditional_020,Transformer-based representation learning and multiple-instance learning for can,,Molecular oncology,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.91,,,1574.0,other,none,extended,0.91,2.313634929180631,0.007757313983489335,128.91059999999996,Retrospective/Other,No external validation
lung_cfDNA_LDCT_traditional_021,The role of dynamic monitoring of plasma cell-free DNA methylation in predicting,,BMC medicine,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.86,,,100.0,prospective_cohort,none,extended,0.86,1.815289966638249,0.0830564784053156,12.040000000000001,Prospective/RCT,No external validation
lung_cfDNA_LDCT_traditional_022,Deep learning model integrating cfDNA methylation and fragment size profiles for,,Scientific reports,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.87,0.815,0.1,,other,none,low_if,0.87,1.900958761193047,0.05803200547340158,17.231870445324184,Retrospective/Other,No external validation
lung_cfDNA_LDCT_traditional_024,DNA methylation markers that correlate with occult lymph node metastases of non-,,Translational lung cancer research,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.886,,,27.0,other,none,low_if,0.886,2.0505185022105854,0.36668881467107284,2.727108,Retrospective/Other,No external validation
lung_cfDNA_LDCT_traditional_025,Combined multimodal ctDNA analysis and radiological imaging for tumor surveillan,,Translational oncology,cfDNA_LDCT_traditional,cfDNA + LDCT (Multimodal),0.9,0.61,,,other,none,extended,0.9,2.1972245773362196,0.05803200547340158,17.231870445324184,Retrospective/Other,No external validation
