group,k,auc_pooled,auc_ci_lo,auc_ci_hi,auc_pi_lo,auc_pi_hi,I2,tau2,Q,Q_df,note
imaging_only,27,0.8526,0.8147,0.8838,0.6692,0.943,98.9,0.2405,2447.85,26.0,
imaging+clinical,4,0.8519,0.701,0.9338,0.0326,0.999,97.9,1.2177,145.32,3.0,
imaging+liquid,7,0.9031,0.8243,0.9488,0.479,0.9895,95.5,0.6893,133.78,6.0,
validation__external_validation,9,0.8764,0.7785,0.9346,0.4673,0.9828,99.0,0.6529,775.13,8.0,
validation__none,28,0.859,0.825,0.8873,0.6917,0.943,98.7,0.2192,2088.34,27.0,
setting__screening,8,0.8101,0.7269,0.8724,0.3952,0.9653,99.0,0.53,690.56,7.0,
setting__clinical_diagnosis,8,0.8698,0.8225,0.906,0.6901,0.9525,89.8,0.1668,68.32,7.0,
setting__both,22,0.8769,0.8325,0.9108,0.5802,0.9735,99.8,0.5842,8808.51,21.0,
publication_bias__deeks_p,27,,,,,,,,0.6091,,Deeks funnel test p-value (no significant asymmetry)
